day,time,agent_id,feed_items,relational_items,personalized_items,headline_items,stance_score,toxicity_score,misinformation_risk,cross_viewpoint_exposure,intervention_reward
1,00:57,1,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.49583333333333335
1,00:57,2,2,0,1,1,0.06666666666666665,0.0,0.0,0.08333333333333333,0.49583333333333335
1,00:57,3,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,00:57,4,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,00:57,5,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.49583333333333335
1,01:59,1,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,01:59,2,2,0,1,1,0.11999999999999997,0.0,0.0,0.08333333333333333,0.49583333333333335
1,01:59,3,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,01:59,4,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,01:59,5,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,07:33,1,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,07:33,2,2,0,1,1,0.16266666666666663,0.0,0.0,0.08333333333333333,0.36583333333333334
1,07:33,3,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,07:33,4,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,07:33,5,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,08:38,1,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,08:38,2,2,0,1,1,0.19679999999999995,0.0,0.0,0.08333333333333333,0.49583333333333335
1,08:38,3,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,08:38,4,2,0,1,1,0.0,0.0,0.0,0.0,0.44999999999999996
1,08:38,5,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,08:58,1,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,08:58,2,2,0,1,1,0.22410666666666662,0.0,0.0,0.08333333333333333,0.36583333333333334
1,08:58,3,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,08:58,4,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,08:58,5,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,08:59,1,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,08:59,2,2,0,1,1,0.24595199999999995,0.0,0.0,0.08333333333333333,0.36583333333333334
1,08:59,3,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,08:59,4,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,08:59,5,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,09:00,1,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,09:00,2,2,0,1,1,0.26342826666666663,0.0,0.0,0.08333333333333333,0.36583333333333334
1,09:00,3,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,09:00,4,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,09:00,5,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,09:10,1,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,09:10,2,2,0,1,1,0.27740928,0.0,0.0,0.08333333333333333,0.36583333333333334
1,09:10,3,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.49583333333333335
1,09:10,4,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,09:10,5,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,09:31,1,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,09:31,2,2,0,1,1,0.28859409066666664,0.0,0.0,0.08333333333333333,0.36583333333333334
1,09:31,3,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.49583333333333335
1,09:31,4,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,09:31,5,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,09:46,1,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,09:46,2,2,0,1,1,0.29754193919999994,0.0,0.0,0.08333333333333333,0.36583333333333334
1,09:46,3,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,09:46,4,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,09:46,5,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,09:48,1,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,09:48,2,2,0,1,1,0.3047002180266666,0.0,0.0,0.08333333333333333,0.36583333333333334
1,09:48,3,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,09:48,4,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,09:48,5,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,09:51,1,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,09:51,2,2,0,1,1,0.3104268410879999,0.0,0.0,0.08333333333333333,0.49583333333333335
1,09:51,3,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,09:51,4,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,09:51,5,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,10:03,1,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,10:03,2,2,0,1,1,0.3150081395370666,0.0,0.0,0.08333333333333333,0.36583333333333334
1,10:03,3,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,10:03,4,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,10:03,5,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,10:47,1,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,10:47,2,2,0,1,1,0.3186731782963199,0.0,0.0,0.08333333333333333,0.36583333333333334
1,10:47,3,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,10:47,4,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,10:47,5,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,10:52,1,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.49583333333333335
1,10:52,2,2,0,1,1,0.3216052093037226,0.0,0.0,0.08333333333333333,0.36583333333333334
1,10:52,3,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,10:52,4,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,10:52,5,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.49583333333333335
1,11:07,1,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.49583333333333335
1,11:07,2,2,0,1,1,0.32395083410964476,0.0,0.0,0.08333333333333333,0.36583333333333334
1,11:07,3,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.36583333333333334
1,11:07,4,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,11:07,5,2,0,1,1,-0.06666666666666665,0.0,0.0,0.08333333333333333,0.49583333333333335
